product_id,product_name,category,performance,relevance,innovation,scalability,monetization,final_score,success_label
1,Product_1,Healthcare,3,2,2,10,5,4.3,Low
2,Product_2,E-commerce,7,10,1,7,2,5.65,Medium
3,Product_3,Healthcare,6,7,10,9,5,7.45,Medium
4,Product_4,Healthcare,4,2,10,2,3,4.25,Low
5,Product_5,AI Tools,1,8,5,2,4,3.85,Low
6,Product_6,Healthcare,7,4,7,7,10,6.85,Medium
7,Product_7,Healthcare,2,8,8,8,9,6.65,Medium
8,Product_8,AI Tools,2,7,3,2,9,4.25,Low
9,Product_9,EdTech,4,1,4,5,1,3.15,Low
10,Product_10,SaaS,3,9,1,4,7,4.6,Low
11,Product_11,SaaS,5,4,6,4,10,5.55,Medium
12,Product_12,EdTech,10,10,4,1,7,6.55,Medium
13,Product_13,E-commerce,7,8,9,3,10,7.25,Medium
14,Product_14,FinTech,9,5,10,10,10,8.75,High
15,Product_15,SaaS,8,1,2,5,6,4.5,Low
16,Product_16,E-commerce,2,3,1,7,3,3.15,Low
17,Product_17,Cybersecurity,5,2,3,10,4,4.85,Low
18,Product_18,Cybersecurity,1,8,5,4,3,4.1,Low
19,Product_19,SaaS,4,3,2,4,9,4.15,Low
20,Product_20,SaaS,2,1,4,1,1,1.85,Low
21,Product_21,SaaS,2,10,8,2,8,5.7,Medium
22,Product_22,FinTech,2,9,10,8,7,6.95,Medium
23,Product_23,SaaS,2,6,2,7,2,3.8,Low
24,Product_24,Cybersecurity,7,8,8,10,3,7.4,Medium
25,Product_25,EdTech,2,1,3,7,3,3.15,Low
26,Product_26,E-commerce,6,7,9,6,7,6.95,Medium
27,Product_27,AI Tools,2,2,4,7,6,4.0,Low
28,Product_28,AI Tools,9,8,10,9,8,8.85,High
29,Product_29,AI Tools,8,5,2,9,2,5.5,Medium
30,Product_30,FinTech,6,6,4,6,10,6.2,Medium
31,Product_31,Cybersecurity,4,2,9,5,9,5.55,Medium
32,Product_32,FinTech,4,1,10,9,6,5.9,Medium
33,Product_33,EdTech,7,6,7,1,4,5.15,Medium
34,Product_34,EdTech,2,3,9,2,1,3.45,Low
35,Product_35,EdTech,2,3,7,8,5,4.85,Low
36,Product_36,EV,9,6,3,1,4,4.85,Low
37,Product_37,Healthcare,4,5,6,6,9,5.75,Medium
38,Product_38,E-commerce,10,1,2,1,2,3.6,Low
39,Product_39,EV,9,9,6,8,10,8.35,High
40,Product_40,FinTech,9,6,7,1,3,5.5,Medium
41,Product_41,AI Tools,1,6,4,1,6,3.35,Low
42,Product_42,EdTech,2,1,2,2,1,1.65,Low
43,Product_43,Cybersecurity,9,4,7,8,10,7.55,Medium
44,Product_44,EdTech,6,3,3,5,4,4.3,Low
